sound_id,onomatopoeia_katakana,confidence_score,acceptance_score,dsp_target_0,dsp_target_1,dsp_target_2,dsp_target_3,dsp_target_4,dsp_target_5,dsp_target_6,dsp_target_7,dsp_target_8,dsp_target_9
a1_cherry1_043,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_048,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_049,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_053,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_055,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_060,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_064,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_065,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_066,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_071,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_077,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_078,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_084,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_086,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_087,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_cherry1_098,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_020,トッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_022,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_023,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_024,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_029,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_030,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_031,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_032,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_035,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_magno3_042,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_001,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_002,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_003,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_004,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_005,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_007,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak1_008,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak1_011,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak1_012,トンッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak1_013,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak1_015,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak2_012,コン,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a1_teak3_000,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_001,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_002,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_003,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_004,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_005,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_007,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_008,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_018,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_teak3_025,コッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
a1_wood2_015,カッ,5,5.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,-0.3,0.0
