parameter,MSE,MAE,R^2,Sign_Accuracy
gain,0.02913073864913911,0.15018992780728843,-2.000431047438148,0.0904836193447738
compression,0.028702792968697568,0.13590179572983205,-0.2888067393796103,0.4126365054602184
eq_sub,0.05586103661562182,0.20960842346690461,-2.413028106878076,0.0842433697347894
eq_low,0.027911117738351105,0.14213873220726778,-1.2847726722264023,0.09516380655226209
eq_mid,1.447960933145001e-08,9.882759516269385e-05,0.0,0.0
eq_high,0.1690133931682138,0.37987382884635684,-4.916198060689066,0.08502340093603744
eq_presence,0.23645047180501663,0.45022778969709204,-5.018378021781459,0.08502340093603744
transient_attack,0.11407838592907507,0.2812609814662979,0.04888034568472699,0.3970358814352574
transient_sustain,0.15945898805448078,0.28264367254385536,-5.438742962291079,0.2800312012480499
time_stretch,0.017445111618705402,0.07694972152830801,-21.46398629509702,0.00078003120124805
